lcl|NC_009925.1_rrna_39	[+10]-207-[+2]-38-[+3]-91-[+5]-80-[+1]-46-[+4]-13-[+6]-47-[+7]-[+8]-13-[+9]-1
lcl|NZ_CP016502.1_rrna_13	[+10]-231-[+2]-39-[+3]-91-[+5]-80-[+1]-46-[+4]-15-[+6]-46-[+7]-[+8]-12-[+9]-1
lcl|NZ_CP021524.1_rrna_23	[+10]-27-[+4]-69-[+2]-36-[+3]-91-[+5]-79-[+1]-47-[+4]-15-[+6]-46-[+7]-[+8]-12-[+9]-1
lcl|NZ_CP022374.1_rrna_21	[+10]-27-[+4]-69-[+2]-36-[+3]-91-[+5]-79-[+1]-47-[+4]-15-[+6]-46-[+7]-[+8]-12-[+9]-1
lcl|NZ_CP039846.1_rrna_23	[+10]-194-[+2]-36-[+3]-91-[+5]-79-[+1]-47-[+4]-15-[+6]-46-[+7]-[+8]-12-[+9]-1
lcl|NZ_CP053986.1_rrna_9	[+10]-218-[+2]-61-[+3]-91-[+5]-78-[+1]-48-[+4]-8-[+6]-47-[+7]-[+8]-12-[+9]-1
lcl|NZ_CP038034.1_rrna_18	[+10]-218-[+2]-61-[+3]-91-[+5]-78-[+1]-48-[+4]-8-[+6]-47-[+7]-[+8]-12-[+9]-1
lcl|NZ_LR134302.1_rrna_7	[+10]-133-[+7]-6-[+2]-61-[+3]-91-[+5]-78-[+1]-48-[+4]-8-[+6]-47-[+7]-[+8]-12-[+9]-1
lcl|NZ_CP043820.1_rrna_8	[+10]-218-[+2]-61-[+3]-91-[+5]-78-[+1]-48-[+4]-8-[+6]-47-[+7]-[+8]-12-[+9]-1
lcl|NC_013740.1_rrna_1	[+10]-21-[+3]-116-[+2]-62-[+3]-90-[+5]-80-[+1]-46-[+4]-15-[+6]-48-[+7]-[+8]-13-[+9]-1
lcl|NZ_LR698962.1_rrna_31	[+10]-235-[+2]-62-[+3]-90-[+5]-80-[+1]-46-[+4]-15-[+6]-48-[+7]-[+8]-13-[+9]-1
lcl|NC_015186.1_rrna_36	[+10]-196-[+2]-36-[+3]-91-[+5]-79-[+1]-46-[+4]-15-[+6]-46-[+7]-[+8]-14-[+9]-1
lcl|NZ_CP031057.1_rrna_25	[+10]-14-[+2]-66-[+2]-52-[+3]-9-[+10]-12-[+5]-81-[+1]-46-[+4]-13-[+6]-47-[+7]-1-[+8]-17-[+9]-1
lcl|NZ_CP040635.1_rrna_5	[+10]-218-[+2]-49-[+3]-9-[+10]-12-[+5]-81-[+1]-46-[+4]-14-[+6]-47-[+7]-1-[+8]-13-[+9]-1
lcl|NZ_CP043926.1_rrna_26	[+10]-124-[+6]-14-[+2]-61-[+3]-91-[+5]-79-[+1]-48-[+4]-14-[+6]-47-[+7]-[+8]-13-[+9]-1
lcl|NZ_LT841305.1_rrna_57	[+10]-131-[+7]-6-[+2]-61-[+3]-91-[+5]-79-[+1]-48-[+4]-14-[+6]-47-[+7]-[+8]-12-[+9]-1
