lcl|NC_009925.1_rrna_36	389-[+8]-228-[+4]-194-[+10]-133-[+10]-80-[+3]-108-[+5]-153-[+2]-20-[+6]-71-[+9]-47-[+3]-[+1]-5-[+7]-187
lcl|NZ_CP016502.1_rrna_15	412-[+8]-113-[+9]-48-[+4]-68-[+10]-69-[+10]-31-[+6]-16-[+1]-51-[+1]-40-[+5]-60-<+9>-23-[+2]-20-[+6]-71-[+9]-48-[+3]-[+1]-5-[+7]-183
lcl|NZ_CP021524.1_rrna_26	354-[+8]-226-[+4]-196-[+10]-428-[+5]-156-[+2]-20-[+6]-71-[+9]-47-[+3]-[+1]-5-[+7]-174
lcl|NZ_CP022374.1_rrna_18	354-[+8]-226-[+4]-196-[+10]-428-[+5]-156-[+2]-20-[+6]-71-[+9]-47-[+3]-[+1]-5-[+7]-174
lcl|NZ_CP039846.1_rrna_26	354-[+8]-226-[+4]-196-[+10]-428-[+5]-156-[+2]-20-[+6]-71-[+9]-47-[+3]-[+1]-5-[+7]-174
lcl|NZ_CP053986.1_rrna_12	208-[+8]-74-[+8]-227-[+4]-43-[+6]-43-[+10]-220-[+8]-214-[+5]-171-[+2]-20-[+6]-71-[+9]-47-[+3]-[+1]-5-[+7]-191
lcl|NZ_CP038034.1_rrna_19	208-[+8]-74-[+8]-227-[+4]-43-[+6]-43-[+10]-222-[+8]-214-[+5]-171-[+2]-20-[+6]-71-[+9]-47-[+3]-[+1]-5-[+7]-191
lcl|NZ_LR134302.1_rrna_6	210-[+8]-74-[+8]-227-[+4]-43-[+6]-43-[+10]-222-[+8]-214-[+5]-171-[+2]-20-[+6]-71-[+9]-47-[+3]-[+1]-5-[+7]-191
lcl|NZ_CP043820.1_rrna_11	208-[+8]-74-[+8]-227-[+4]-43-[+6]-43-[+10]-220-[+8]-214-[+5]-171-[+2]-20-[+6]-71-[+9]-47-[+3]-[+1]-5-[+7]-191
lcl|NC_013740.1_rrna_2	7-[+6]-273-[+8]-221-[+4]-38-[+6]-48-[+10]-523-[+5]-39-[+6]-34-[+2]-20-[+6]-69-[+9]-48-[+3]-[+1]-5-[+7]-187
lcl|NZ_LR698962.1_rrna_28	389-[+8]-38-[+3]-45-[+4]-195-[+10]-265-[+3]-121-[+5]-182-[+2]-20-[+6]-69-[+9]-48-[+3]-[+1]-5-[+7]-187
lcl|NC_015186.1_rrna_33	351-[+8]-226-[+4]-93-[+5]-5-[+10]-127-[+4]-161-[+5]-156-[+2]-20-[+6]-71-[+9]-47-[+3]-[+1]-5-[+7]-174
lcl|NZ_CP031057.1_rrna_26	460-[+8]-231-[+4]-195-[+10]-633-[+5]-186-[+2]-19-[+6]-71-[+9]-47-[+3]-[+1]-5-[+7]-187
lcl|NZ_CP040635.1_rrna_4	458-[+8]-77-[+5]-58-[+4]-195-[+10]-634-[+5]-185-[+2]-19-[+6]-71-[+9]-47-[+3]-[+1]-5-[+7]-187
lcl|NZ_CP043926.1_rrna_29	371-[+8]-225-[+4]-195-[+10]-69-[+5]-358-[+5]-172-[+2]-20-[+6]-5-[+10]-7-[+9]-47-[+3]-[+1]-5-[+7]-50-[+9]-70
lcl|NZ_LT841305.1_rrna_54	372-[+8]-226-[+4]-196-[+10]-525-[+5]-172-[+2]-20-[+6]-5-[+10]-7-[+9]-47-[+3]-[+1]-5-[+7]-50-[+9]-70
lcl|NZ_CP040511.1_rrna_12	284-[+8]-1-[+8]-226-[+4]-195-[+10]-526-[+5]-172-[+2]-20-[+6]-5-[+10]-7-[+9]-47-[+3]-[+1]-5-[+7]-50-[+9]-70
lcl|NC_015138.1_rrna_9	207-[+8]-74-[+8]-18-[+5]-107-[+4]-42-[+8]-67-[+10]-354-[+4]-31-[+5]-170-[+2]-20-[+6]-71-[+9]-47-[+3]-[+1]-5-[+7]-191
lcl|NZ_CP021359.1_rrna_23	207-[+8]-74-[+8]-224-[+4]-44-[+6]-42-[+10]-354-[+4]-31-[+5]-170-[+2]-20-[+6]-71-[+9]-47-[+3]-[+1]-5-[+7]-51-[+9]-70
lcl|NZ_CP029373.1_rrna_14	207-[+8]-74-[+8]-18-[+5]-107-[+4]-41-[+8]-67-[+10]-354-[+4]-31-[+5]-170-[+2]-20-[+6]-71-[+9]-47-[+3]-[+1]-5-[+7]-191
lcl|NZ_CP043953.1_rrna_4	27-[+9]-264-[+8]-227-[+4]-196-[+10]-221-[+8]-221-[+5]-180-[+2]-20-[+6]-71-[+9]-47-[+3]-[+1]-5-[+7]-192
lcl|NZ_CP066119.1_rrna_4	361-[+8]-227-[+4]-196-[+10]-434-[+8]-6-[+5]-180-[+2]-20-[+6]-71-[+9]-47-[+3]-[+1]-5-[+7]-192
lcl|NZ_CP020000.1_rrna_5	361-[+8]-227-[+4]-196-[+10]-222-[+8]-221-[+5]-180-[+2]-20-[+6]-71-[+9]-47-[+3]-[+1]-5-[+7]-192
lcl|NZ_AP014630.1_rrna_4	361-[+8]-227-[+4]-196-[+10]-526-[+5]-180-[+2]-20-[+6]-71-[+9]-47-[+3]-[+1]-5-[+7]-192
lcl|NZ_CP030880.1_rrna_4	27-[+9]-264-[+8]-227-[+4]-196-[+10]-528-[+5]-180-[+2]-20-[+6]-71-[+9]-47-[+3]-[+1]-5-[+7]-191
lcl|NZ_CP045198.1_rrna_4	361-[+8]-227-[+4]-196-[+10]-434-[+8]-6-[+5]-180-[+2]-20-[+6]-71-[+9]-47-[+3]-[+1]-5-[+7]-191
lcl|NZ_CP059558.1_rrna_4	27-[+9]-265-[+8]-227-[+4]-197-[+10]-38-[+7]-397-[+5]-180-[+2]-20-[+6]-71-[+9]-47-[+3]-[+1]-6-[+7]-191
